Date,City,Temperature,Humidity,Wind_Speed,Pressure,Dew_Point,Cloud_Cover
1/30/2009,Karachi,21.0,56,13.2,1016.0,9.9,27
1/6/2007,Karachi,16.9,37,20.2,1020.2,-1.4,16
1/7/2014,Karachi,17.8,34,24.5,1016.2,0.1,0
10/12/2014,Karachi,30.2,54,21.1,1007.8,17.8,0
10/16/2000,Karachi,27.4,76,21.6,1011.4,21.9,20
10/4/2003,Karachi,28.1,67,21.0,1009.9,19.8,0
11/14/2001,Karachi,25.4,43,17.1,1014.9,10.8,0
11/14/2002,Karachi,24.1,58,16.5,1013.7,14.2,0
12/17/2008,Karachi,22.2,53,30.6,1014.9,11.9,5
12/24/2007,Karachi,22.3,75,14.1,1014.5,17.4,45
12/26/2006,Karachi,20.4,62,15.1,1015.0,12.7,11
2/4/2002,Karachi,18.8,30,19.4,1015.5,-1.3,0
3/12/2003,Karachi,25.3,50,15.3,1011.7,10.8,17
3/18/2006,Karachi,26.1,45,26.3,1012.1,11.0,2
3/26/2005,Karachi,25.8,73,28.0,1009.3,19.9,27
3/28/2001,Karachi,26.0,52,34.2,1005.5,13.8,26
3/6/2008,Karachi,22.8,79,25.1,1012.5,18.5,37
3/7/2013,Karachi,28.2,28,25.0,1013.9,6.4,26
4/13/2009,Karachi,27.8,69,27.4,1006.3,21.2,0
4/21/2000,Karachi,28.1,74,38.7,1005.4,22.8,42
4/27/2013,Karachi,30.1,54,28.8,1010.0,18.6,78
5/2/2007,Karachi,28.3,77,26.1,1007.5,23.7,14
6/1/2010,Karachi,30.1,73,26.9,1004.9,24.4,18
6/12/2003,Karachi,29.8,81,31.7,999.9,26.0,50
6/29/2005,Karachi,30.4,76,23.2,995.2,25.6,87
7/3/2006,Karachi,30.3,73,25.1,995.8,24.6,14
7/31/2007,Karachi,31.2,71,22.1,1001.5,25.3,82
8/12/2007,Karachi,28.5,85,38.0,998.1,25.7,56
9/1/2006,Karachi,26.6,83,25.0,1002.3,23.4,35
9/29/2015,Karachi,28.0,71,20.1,1010.3,21.5,10
